Citys,ymd,Weather,highTemp,lowTemp
['安达2018年12月份天气情况'],2018年12月04日,晴/晴,-9℃,-19℃
['安达2018年12月份天气情况'],2018年12月05日,多云/多云,-11℃,-22℃
['安达2018年12月份天气情况'],2018年12月06日,多云/晴,-14℃,-25℃
['安达2018年12月份天气情况'],2018年12月07日,多云/晴,-16℃,-23℃
['安达2018年12月份天气情况'],2018年12月08日,多云/晴,-15℃,-24℃
['安达2018年12月份天气情况'],2018年12月09日,晴/晴,-13℃,-19℃
['安达2018年12月份天气情况'],2018年12月10日,晴/晴,-11℃,-20℃
['安达2018年12月份天气情况'],2018年12月11日,多云/晴,-11℃,-22℃
['安达2018年12月份天气情况'],2018年12月12日,多云/多云,-11℃,-19℃
['安达2018年12月份天气情况'],2018年12月13日,多云/多云,-12℃,-22℃
['安达2018年12月份天气情况'],2018年12月14日,晴/多云,-11℃,-18℃
['安达2018年12月份天气情况'],2018年12月15日,多云/晴,-5℃,-16℃
['安达2018年12月份天气情况'],2018年12月16日,多云/多云,-6℃,-16℃
['安达2018年12月份天气情况'],2018年12月17日,多云/晴,-5℃,-16℃
['安达2018年12月份天气情况'],2018年12月18日,晴/晴,-7℃,-13℃
['安达2018年12月份天气情况'],2018年12月19日,晴/晴,-5℃,-13℃
['安达2018年12月份天气情况'],2018年12月20日,多云/多云,-2℃,-12℃
['安达2018年12月份天气情况'],2018年12月21日,小雪/多云,-2℃,-14℃
['安达2018年12月份天气情况'],2018年12月22日,多云/多云,-5℃,-18℃
['安达2018年12月份天气情况'],2018年12月23日,晴/多云,-11℃,-21℃
['安达2018年12月份天气情况'],2018年12月24日,多云/多云,-9℃,-18℃
['安达2018年12月份天气情况'],2018年12月25日,多云/晴,-11℃,-21℃
['安达2018年12月份天气情况'],2018年12月26日,多云/阵雪,-14℃,-24℃
['安达2018年12月份天气情况'],2018年12月27日,小雪/晴,-15℃,-23℃
['安达2018年12月份天气情况'],2018年12月28日,多云/多云,-15℃,-23℃
['安达2018年12月份天气情况'],2018年12月29日,多云/多云,-15℃,-21℃
['安达2018年12月份天气情况'],2018年12月30日,多云/晴,-11℃,-21℃
['安达2018年12月份天气情况'],2018年12月31日,晴/晴,-12℃,-20℃
['巴彦2018年11月份天气情况'],2018年11月01日,晴/晴,12℃,-1℃
['巴彦2018年11月份天气情况'],2018年11月02日,晴/多云,13℃,4℃
['巴彦2018年11月份天气情况'],2018年11月03日,多云/雨夹雪,13℃,0℃
['巴彦2018年11月份天气情况'],2018年11月04日,多云/多云,2℃,-6℃
['巴彦2018年11月份天气情况'],2018年11月05日,晴/晴,1℃,-8℃
['巴彦2018年11月份天气情况'],2018年11月06日,晴/晴,3℃,-8℃
['巴彦2018年11月份天气情况'],2018年11月07日,晴/多云,5℃,-6℃
['巴彦2018年11月份天气情况'],2018年11月08日,多云/小雨,8℃,0℃
['巴彦2018年11月份天气情况'],2018年11月09日,大雪/中雪,2℃,-2℃
['巴彦2018年11月份天气情况'],2018年11月10日,多云/晴,2℃,-7℃
['巴彦2018年11月份天气情况'],2018年11月11日,多云/多云,4℃,-8℃
['巴彦2018年11月份天气情况'],2018年11月12日,多云/多云,2℃,-6℃
['巴彦2018年11月份天气情况'],2018年11月13日,多云/晴,2℃,-6℃
['巴彦2018年11月份天气情况'],2018年11月14日,晴/雨夹雪,4℃,-4℃
['巴彦2018年11月份天气情况'],2018年11月15日,多云/多云,2℃,-8℃
['巴彦2018年11月份天气情况'],2018年11月16日,多云/多云,-2℃,-10℃
['巴彦2018年11月份天气情况'],2018年11月17日,晴/多云,-1℃,-12℃
['巴彦2018年11月份天气情况'],2018年11月18日,多云/多云,-1℃,-13℃
['巴彦2018年11月份天气情况'],2018年11月19日,多云/晴,-3℃,-10℃
['巴彦2018年11月份天气情况'],2018年11月20日,多云/多云,-5℃,-18℃
['巴彦2018年11月份天气情况'],2018年11月21日,多云/多云,-4℃,-16℃
['巴彦2018年11月份天气情况'],2018年11月22日,晴/晴,-9℃,-17℃
['巴彦2018年11月份天气情况'],2018年11月23日,晴/晴,-6℃,-11℃
['巴彦2018年11月份天气情况'],2018年11月24日,多云/多云,0℃,-10℃
['巴彦2018年11月份天气情况'],2018年11月25日,晴/晴,1℃,-6℃
['巴彦2018年11月份天气情况'],2018年11月26日,多云/多云,6℃,-7℃
['巴彦2018年11月份天气情况'],2018年11月27日,多云/多云,-1℃,-14℃
['巴彦2018年11月份天气情况'],2018年11月28日,多云/晴,-5℃,-19℃
['巴彦2018年11月份天气情况'],2018年11月29日,晴/晴,-8℃,-17℃
['巴彦2018年11月份天气情况'],2018年11月30日,多云/晴,-5℃,-17℃
['巴彦2018年12月份天气情况'],2018年12月01日,晴/多云,2℃,-12℃
['巴彦2018年12月份天气情况'],2018年12月02日,小雨/多云,5℃,-2℃
['巴彦2018年12月份天气情况'],2018年12月03日,多云/多云,3℃,-13℃
['巴彦2018年12月份天气情况'],2018年12月04日,多云/晴,-10℃,-18℃
['巴彦2018年12月份天气情况'],2018年12月05日,晴/晴,-12℃,-23℃
['巴彦2018年12月份天气情况'],2018年12月06日,多云/晴,-13℃,-24℃
['巴彦2018年12月份天气情况'],2018年12月07日,多云/多云,-13℃,-24℃
['巴彦2018年12月份天气情况'],2018年12月08日,晴/晴,-16℃,-23℃
['巴彦2018年12月份天气情况'],2018年12月09日,晴/晴,-13℃,-23℃
['巴彦2018年12月份天气情况'],2018年12月10日,晴/多云,-10℃,-20℃
['巴彦2018年12月份天气情况'],2018年12月11日,晴/晴,-11℃,-23℃
['巴彦2018年12月份天气情况'],2018年12月12日,多云/阵雪,-9℃,-20℃
['巴彦2018年12月份天气情况'],2018年12月13日,多云/多云,-9℃,-19℃
['巴彦2018年12月份天气情况'],2018年12月14日,晴/晴,-10℃,-19℃
['巴彦2018年12月份天气情况'],2018年12月15日,晴/多云,-5℃,-16℃
['巴彦2018年12月份天气情况'],2018年12月16日,晴/晴,-4℃,-13℃
['巴彦2018年12月份天气情况'],2018年12月17日,多云/多云,-5℃,-16℃
['巴彦2018年12月份天气情况'],2018年12月18日,多云/晴,-7℃,-15℃
['巴彦2018年12月份天气情况'],2018年12月19日,晴/晴,-4℃,-14℃
['巴彦2018年12月份天气情况'],2018年12月20日,晴/多云,-3℃,-14℃
['巴彦2018年12月份天气情况'],2018年12月21日,中雪/多云,-2℃,-10℃
['巴彦2018年12月份天气情况'],2018年12月22日,晴/多云,-3℃,-18℃
['巴彦2018年12月份天气情况'],2018年12月23日,晴/多云,-11℃,-22℃
['巴彦2018年12月份天气情况'],2018年12月24日,晴/多云,-10℃,-19℃
['巴彦2018年12月份天气情况'],2018年12月25日,多云/多云,-10℃,-27℃
['巴彦2018年12月份天气情况'],2018年12月26日,晴/阴,-19℃,-31℃
['巴彦2018年12月份天气情况'],2018年12月27日,晴/晴,-18℃,-27℃
['巴彦2018年12月份天气情况'],2018年12月28日,晴/晴,-16℃,-23℃
['巴彦2018年12月份天气情况'],2018年12月29日,晴/晴,-16℃,-22℃
['巴彦2018年12月份天气情况'],2018年12月30日,晴/阴,-13℃,-23℃
['巴彦2018年12月份天气情况'],2018年12月31日,晴/晴,-13℃,-23℃
['拜泉2018年11月份天气情况'],2018年11月01日,晴/多云,10℃,1℃
['拜泉2018年11月份天气情况'],2018年11月02日,多云/多云,13℃,1℃
['拜泉2018年11月份天气情况'],2018年11月03日,阴/阴,8℃,-5℃
['拜泉2018年11月份天气情况'],2018年11月04日,多云/多云,1℃,-9℃
['拜泉2018年11月份天气情况'],2018年11月05日,多云/多云,0℃,-7℃
['拜泉2018年11月份天气情况'],2018年11月06日,晴/晴,3℃,-4℃
['拜泉2018年11月份天气情况'],2018年11月07日,多云/多云,5℃,-5℃
['拜泉2018年11月份天气情况'],2018年11月08日,晴/小雨,6℃,-2℃
['拜泉2018年11月份天气情况'],2018年11月09日,小雨/小雪,4℃,-4℃
['拜泉2018年11月份天气情况'],2018年11月10日,多云/多云,0℃,-8℃
['拜泉2018年11月份天气情况'],2018年11月11日,晴/晴,2℃,-8℃
['拜泉2018年11月份天气情况'],2018年11月12日,多云/多云,1℃,-8℃
['拜泉2018年11月份天气情况'],2018年11月13日,晴/多云,1℃,-8℃
['拜泉2018年11月份天气情况'],2018年11月14日,多云/多云,2℃,-6℃
['拜泉2018年11月份天气情况'],2018年11月15日,多云/晴,-2℃,-14℃
['拜泉2018年11月份天气情况'],2018年11月16日,晴/晴,-3℃,-11℃
['拜泉2018年11月份天气情况'],2018年11月17日,晴/多云,-2℃,-9℃
['拜泉2018年11月份天气情况'],2018年11月18日,多云/多云,-3℃,-15℃
['拜泉2018年11月份天气情况'],2018年11月19日,多云/多云,-7℃,-16℃
['拜泉2018年11月份天气情况'],2018年11月20日,晴/晴,-9℃,-14℃
['拜泉2018年11月份天气情况'],2018年11月21日,多云/多云,-4℃,-17℃
['拜泉2018年11月份天气情况'],2018年11月22日,阴/晴,-11℃,-22℃
['拜泉2018年11月份天气情况'],2018年11月23日,多云/多云,-9℃,-17℃
['拜泉2018年11月份天气情况'],2018年11月24日,多云/晴,-4℃,-14℃
['拜泉2018年11月份天气情况'],2018年11月25日,晴/多云,-5℃,-10℃
['拜泉2018年11月份天气情况'],2018年11月26日,多云/晴,4℃,-10℃
['拜泉2018年11月份天气情况'],2018年11月27日,晴/多云,-3℃,-16℃
['拜泉2018年11月份天气情况'],2018年11月28日,多云/晴,-11℃,-21℃
['拜泉2018年11月份天气情况'],2018年11月29日,晴/晴,-11℃,-17℃
['拜泉2018年11月份天气情况'],2018年11月30日,小雪/晴,-7℃,-16℃
['拜泉2018年12月份天气情况'],2018年12月01日,晴/晴,-5℃,-12℃
['拜泉2018年12月份天气情况'],2018年12月02日,晴/晴,5℃,-4℃
['拜泉2018年12月份天气情况'],2018年12月03日,多云/多云,-2℃,-19℃
['拜泉2018年12月份天气情况'],2018年12月04日,多云/多云,-13℃,-24℃
['拜泉2018年12月份天气情况'],2018年12月05日,多云/晴,-17℃,-24℃
['拜泉2018年12月份天气情况'],2018年12月06日,晴/晴,-18℃,-26℃
['拜泉2018年12月份天气情况'],2018年12月07日,晴/晴,-18℃,-23℃
['拜泉2018年12月份天气情况'],2018年12月08日,多云/晴,-17℃,-25℃
['拜泉2018年12月份天气情况'],2018年12月09日,晴/晴,-16℃,-25℃
['拜泉2018年12月份天气情况'],2018年12月10日,晴/晴,-13℃,-22℃
['拜泉2018年12月份天气情况'],2018年12月11日,多云/阴,-14℃,-23℃
['拜泉2018年12月份天气情况'],2018年12月12日,阴/多云,-14℃,-23℃
['拜泉2018年12月份天气情况'],2018年12月13日,多云/晴,-13℃,-21℃
['拜泉2018年12月份天气情况'],2018年12月14日,晴/多云,-13℃,-22℃
['拜泉2018年12月份天气情况'],2018年12月15日,晴/晴,-8℃,-15℃
['拜泉2018年12月份天气情况'],2018年12月16日,多云/多云,-11℃,-20℃
['拜泉2018年12月份天气情况'],2018年12月17日,多云/多云,-11℃,-21℃
['拜泉2018年12月份天气情况'],2018年12月18日,晴/晴,-9℃,-17℃
['拜泉2018年12月份天气情况'],2018年12月19日,晴/晴,-8℃,-16℃
['拜泉2018年12月份天气情况'],2018年12月20日,晴/多云,-8℃,-15℃
['拜泉2018年12月份天气情况'],2018年12月21日,多云/阵雪,-8℃,-15℃
['拜泉2018年12月份天气情况'],2018年12月22日,阴/多云,-7℃,-20℃
['拜泉2018年12月份天气情况'],2018年12月23日,多云/晴,-12℃,-22℃
['拜泉2018年12月份天气情况'],2018年12月24日,多云/多云,-12℃,-21℃
['拜泉2018年12月份天气情况'],2018年12月25日,多云/多云,-10℃,-22℃
['拜泉2018年12月份天气情况'],2018年12月26日,阵雪/晴,-18℃,-23℃
['拜泉2018年12月份天气情况'],2018年12月27日,多云/多云,-17℃,-24℃
['拜泉2018年12月份天气情况'],2018年12月28日,多云/晴,-17℃,-23℃
['拜泉2018年12月份天气情况'],2018年12月29日,多云/晴,-16℃,-23℃
['拜泉2018年12月份天气情况'],2018年12月30日,多云/多云,-15℃,-22℃
['拜泉2018年12月份天气情况'],2018年12月31日,多云/多云,-15℃,-22℃
['宝清2018年11月份天气情况'],2018年11月01日,晴/晴,12℃,-2℃
['宝清2018年11月份天气情况'],2018年11月02日,晴/晴,14℃,1℃
['宝清2018年11月份天气情况'],2018年11月03日,多云/雨夹雪,17℃,-1℃
['宝清2018年11月份天气情况'],2018年11月04日,多云/晴,3℃,-6℃
['宝清2018年11月份天气情况'],2018年11月05日,晴/晴,3℃,-7℃
['宝清2018年11月份天气情况'],2018年11月06日,多云/晴,5℃,-8℃
['宝清2018年11月份天气情况'],2018年11月07日,晴/多云,6℃,-5℃
['宝清2018年11月份天气情况'],2018年11月08日,多云/雨夹雪,8℃,-2℃
['宝清2018年11月份天气情况'],2018年11月09日,雨夹雪/大雪,3℃,-1℃
['宝清2018年11月份天气情况'],2018年11月10日,中雪/多云,4℃,-3℃
['宝清2018年11月份天气情况'],2018年11月11日,多云/多云,3℃,-6℃
['宝清2018年11月份天气情况'],2018年11月12日,多云/多云,3℃,-4℃
['宝清2018年11月份天气情况'],2018年11月13日,阴/多云,2℃,-6℃
['宝清2018年11月份天气情况'],2018年11月14日,多云/多云,5℃,-5℃
['宝清2018年11月份天气情况'],2018年11月15日,雨夹雪/小雪,2℃,-6℃
['宝清2018年11月份天气情况'],2018年11月16日,多云/晴,-4℃,-9℃
['宝清2018年11月份天气情况'],2018年11月17日,多云/晴,0℃,-11℃
['宝清2018年11月份天气情况'],2018年11月18日,晴/多云,-1℃,-10℃
['宝清2018年11月份天气情况'],2018年11月19日,晴/晴,-1℃,-14℃
['宝清2018年11月份天气情况'],2018年11月20日,多云/晴,-2℃,-17℃
['宝清2018年11月份天气情况'],2018年11月21日,多云/多云,-5℃,-12℃
['宝清2018年11月份天气情况'],2018年11月22日,阴/多云,-11℃,-17℃
['宝清2018年11月份天气情况'],2018年11月23日,多云/多云,-6℃,-11℃
['宝清2018年11月份天气情况'],2018年11月24日,多云/多云,1℃,-10℃
['宝清2018年11月份天气情况'],2018年11月25日,多云/多云,1℃,-9℃
['宝清2018年11月份天气情况'],2018年11月26日,多云/多云,5℃,-4℃
['宝清2018年11月份天气情况'],2018年11月27日,晴/多云,0℃,-14℃
['宝清2018年11月份天气情况'],2018年11月28日,晴/多云,-6℃,-18℃
['宝清2018年11月份天气情况'],2018年11月29日,晴/多云,-10℃,-19℃
['宝清2018年11月份天气情况'],2018年11月30日,多云/阵雪,-7℃,-15℃
['宝清2018年12月份天气情况'],2018年12月01日,多云/晴,-5℃,-12℃
['宝清2018年12月份天气情况'],2018年12月02日,小雪/小雪,6℃,-2℃
['宝清2018年12月份天气情况'],2018年12月03日,多云/多云,6℃,-9℃
['宝清2018年12月份天气情况'],2018年12月04日,多云/多云,-3℃,-18℃
['宝清2018年12月份天气情况'],2018年12月05日,晴/晴,-10℃,-19℃
['宝清2018年12月份天气情况'],2018年12月06日,晴/多云,-10℃,-25℃
['宝清2018年12月份天气情况'],2018年12月07日,多云/多云,-16℃,-23℃
['宝清2018年12月份天气情况'],2018年12月08日,多云/多云,-15℃,-21℃
['宝清2018年12月份天气情况'],2018年12月09日,晴/晴,-14℃,-21℃
['宝清2018年12月份天气情况'],2018年12月10日,多云/晴,-13℃,-21℃
['宝清2018年12月份天气情况'],2018年12月11日,晴/晴,-12℃,-22℃
['宝清2018年12月份天气情况'],2018年12月12日,晴/阴,-10℃,-20℃
['宝清2018年12月份天气情况'],2018年12月13日,多云/阴,-9℃,-21℃
['宝清2018年12月份天气情况'],2018年12月14日,晴/晴,-10℃,-16℃
['宝清2018年12月份天气情况'],2018年12月15日,多云/多云,-6℃,-16℃
['宝清2018年12月份天气情况'],2018年12月16日,晴/多云,-2℃,-16℃
['宝清2018年12月份天气情况'],2018年12月17日,多云/小雪,-3℃,-16℃
['宝清2018年12月份天气情况'],2018年12月18日,晴/晴,-8℃,-15℃
['宝清2018年12月份天气情况'],2018年12月19日,多云/多云,-6℃,-15℃
['宝清2018年12月份天气情况'],2018年12月20日,多云/多云,-5℃,-13℃
['宝清2018年12月份天气情况'],2018年12月21日,小雪/小雪,-2℃,-14℃
['宝清2018年12月份天气情况'],2018年12月22日,多云/多云,0℃,-18℃
['宝清2018年12月份天气情况'],2018年12月23日,多云/多云,-9℃,-15℃
['宝清2018年12月份天气情况'],2018年12月24日,多云/多云,-8℃,-16℃
['宝清2018年12月份天气情况'],2018年12月25日,多云/多云,-7℃,-20℃
['宝清2018年12月份天气情况'],2018年12月26日,多云/多云,-15℃,-22℃
['宝清2018年12月份天气情况'],2018年12月27日,多云/多云,-14℃,-20℃
['宝清2018年12月份天气情况'],2018年12月28日,多云/多云,-14℃,-19℃
['宝清2018年12月份天气情况'],2018年12月29日,小雪/阴,-14℃,-17℃
['宝清2018年12月份天气情况'],2018年12月30日,多云/多云,-12℃,-21℃
['宝清2018年12月份天气情况'],2018年12月31日,晴/多云,-11℃,-20℃
['北安2018年11月份天气情况'],2018年11月01日,晴/晴,9℃,-3℃
['北安2018年11月份天气情况'],2018年11月02日,多云/多云,11℃,-1℃
['北安2018年11月份天气情况'],2018年11月03日,阴/多云,5℃,-5℃
['北安2018年11月份天气情况'],2018年11月04日,晴/晴,0℃,-9℃
['北安2018年11月份天气情况'],2018年11月05日,晴/多云,-2℃,-10℃
['北安2018年11月份天气情况'],2018年11月06日,晴/晴,4℃,-6℃
['北安2018年11月份天气情况'],2018年11月07日,多云/多云,6℃,-5℃
['北安2018年11月份天气情况'],2018年11月08日,多云/阵雪,5℃,-6℃
['北安2018年11月份天气情况'],2018年11月09日,大雪/中雪,2℃,-5℃
['北安2018年11月份天气情况'],2018年11月10日,多云/多云,1℃,-12℃
['北安2018年11月份天气情况'],2018年11月11日,多云/多云,0℃,-11℃
['北安2018年11月份天气情况'],2018年11月12日,多云/多云,-1℃,-9℃
['北安2018年11月份天气情况'],2018年11月13日,多云/多云,2℃,-10℃
['北安2018年11月份天气情况'],2018年11月14日,多云/小雪,1℃,-6℃
['北安2018年11月份天气情况'],2018年11月15日,多云/多云,-1℃,-15℃
['北安2018年11月份天气情况'],2018年11月16日,晴/晴,-6℃,-15℃
['北安2018年11月份天气情况'],2018年11月17日,多云/多云,-4℃,-13℃
['北安2018年11月份天气情况'],2018年11月18日,多云/多云,-4℃,-19℃
['北安2018年11月份天气情况'],2018年11月19日,晴/晴,-8℃,-18℃
['北安2018年11月份天气情况'],2018年11月20日,晴/多云,-10℃,-21℃
['北安2018年11月份天气情况'],2018年11月21日,阵雪/多云,-10℃,-22℃
['北安2018年11月份天气情况'],2018年11月22日,多云/多云,-12℃,-22℃
['北安2018年11月份天气情况'],2018年11月23日,多云/晴,-9℃,-21℃
['北安2018年11月份天气情况'],2018年11月24日,多云/多云,-5℃,-17℃
['北安2018年11月份天气情况'],2018年11月25日,多云/多云,-4℃,-13℃
['北安2018年11月份天气情况'],2018年11月26日,多云/多云,2℃,-10℃
['北安2018年11月份天气情况'],2018年11月27日,多云/多云,-6℃,-16℃
['北安2018年11月份天气情况'],2018年11月28日,多云/多云,-11℃,-23℃
['北安2018年11月份天气情况'],2018年11月29日,晴/多云,-12℃,-23℃
['北安2018年11月份天气情况'],2018年11月30日,阵雪/多云,-10℃,-20℃
['北安2018年12月份天气情况'],2018年12月01日,多云/多云,-7℃,-17℃
['北安2018年12月份天气情况'],2018年12月02日,多云/多云,-1℃,-7℃
['北安2018年12月份天气情况'],2018年12月03日,多云/多云,0℃,-16℃
['北安2018年12月份天气情况'],2018年12月04日,晴/晴,-13℃,-24℃
['北安2018年12月份天气情况'],2018年12月05日,晴/晴,-16℃,-26℃
['北安2018年12月份天气情况'],2018年12月06日,多云/多云,-17℃,-25℃
['北安2018年12月份天气情况'],2018年12月07日,晴/晴,-19℃,-25℃
['北安2018年12月份天气情况'],2018年12月08日,多云/多云,-17℃,-24℃
['北安2018年12月份天气情况'],2018年12月09日,多云/多云,-16℃,-25℃
['北安2018年12月份天气情况'],2018年12月10日,多云/晴,-14℃,-24℃
['北安2018年12月份天气情况'],2018年12月11日,晴/晴,-15℃,-25℃
['北安2018年12月份天气情况'],2018年12月12日,多云/多云,-13℃,-24℃
['北安2018年12月份天气情况'],2018年12月13日,多云/晴,-13℃,-22℃
['北安2018年12月份天气情况'],2018年12月14日,晴/晴,-12℃,-20℃
